id,concept_name,category,subcategory,difficulty_level,bloom_level,dependencies,chapter
C001,Claude Code skill definition,Foundations,Core Concepts,beginner,remember,,1
C002,SKILL.md file format,Foundations,Core Concepts,beginner,remember,C001,1
C003,Skill persistence,Foundations,Core Concepts,beginner,understand,C001,1
C004,Skill structure property,Foundations,Core Concepts,beginner,understand,C001,1
C005,Quality gates property,Foundations,Core Concepts,beginner,understand,C001,1
C006,Standard Operating Procedure analogy,Foundations,Mental Models,beginner,understand,C001,1
C007,Skill execution model,Foundations,Core Concepts,beginner,understand,"C001,C002",1
C008,Path resolution (~/.claude/skills/),Foundations,Execution,beginner,remember,C007,1
C009,Project-local skill path (.claude/skills/),Foundations,Execution,beginner,remember,C008,1
C010,Sequential execution default,Foundations,Execution,beginner,understand,C007,1
C011,Ad-hoc prompting vs skill-based execution,Foundations,Comparison,beginner,analyze,C001,1
C012,Skill composability,Foundations,Core Concepts,intermediate,understand,"C001,C011",1
C013,Book generation skill category,Foundations,Skill Categories,beginner,remember,C001,1
C014,Analysis skill category,Foundations,Skill Categories,beginner,remember,C001,1
C015,Specialized skill category,Foundations,Skill Categories,beginner,remember,C001,1
C016,Dan McCreary intelligent textbook methodology,Foundations,Background,beginner,understand,C001,1
C017,agentskills.io open standard,Foundations,Cross-Platform,beginner,remember,C001,1
C018,Skill registry concept,Ecosystem,Discovery,beginner,understand,C001,2
C019,30-skill limit (practical constraint),Ecosystem,Limits,beginner,remember,C018,2
C020,System prompt budget,Ecosystem,Limits,intermediate,understand,"C018,C019",2
C021,Skill discovery at session start,Ecosystem,Discovery,beginner,understand,C018,2
C022,Skill catalog building,Ecosystem,Discovery,intermediate,understand,C021,2
C023,Trigger phrase matching,Ecosystem,Discovery,intermediate,understand,C022,2
C024,Skill taxonomy (individual to meta-skill router),Ecosystem,Taxonomy,intermediate,understand,"C018,C012",2
C025,claude-skills repository overview,Ecosystem,Background,beginner,remember,C018,2
C026,Minimal viable skill,Skill Anatomy,SKILL.md Components,beginner,understand,C002,3
C027,YAML frontmatter block,YAML Specification,Required Fields,beginner,remember,C002,1
C028,Name field requirement,YAML Specification,Required Fields,beginner,remember,C027,1
C029,Description field importance,YAML Specification,Required Fields,beginner,understand,C027,1
C030,License field,YAML Specification,Optional Fields,beginner,remember,C027,1
C031,allowed-tools field,YAML Specification,Optional Fields,intermediate,understand,C027,1
C032,Compatibility field,YAML Specification,Optional Fields,intermediate,remember,C027,1
C033,Metadata field,YAML Specification,Optional Fields,beginner,remember,C027,1
C034,Description field as routing signal,YAML Specification,Required Fields,intermediate,analyze,"C029,C022",1
C035,Name-to-directory matching requirement,YAML Specification,Required Fields,beginner,remember,C028,1
C036,Overview section,Skill Anatomy,Body Sections,beginner,remember,C002,4
C037,When to Use section,Skill Anatomy,Body Sections,beginner,remember,C002,4
C038,Positive trigger conditions,Skill Anatomy,Body Sections,beginner,understand,C037,4
C039,Negative trigger conditions,Skill Anatomy,Body Sections,intermediate,understand,C037,4
C040,Prerequisite specification,Skill Anatomy,Body Sections,intermediate,understand,C037,4
C041,Workflow section structure,Skill Anatomy,Body Sections,beginner,remember,C002,4
C042,Output Files section,Skill Anatomy,Body Sections,beginner,remember,C002,4
C043,Quality Scoring section,Skill Anatomy,Body Sections,intermediate,understand,C002,4
C044,Example Session section,Skill Anatomy,Body Sections,intermediate,understand,C002,4
C045,Common Pitfalls section,Skill Anatomy,Body Sections,intermediate,understand,C002,4
C046,10-section skill layout convention,Skill Anatomy,Body Sections,intermediate,apply,"C036,C037,C041,C042,C043,C044,C045",4
C047,Step numbering convention,Skill Anatomy,Workflow Steps,beginner,remember,C041,4
C048,Step 0 environment setup pattern,Workflow Design,Setup Patterns,intermediate,understand,C047,6
C049,Actionable step specification,Skill Anatomy,Workflow Steps,intermediate,evaluate,C047,3
C050,User dialog trigger definition,Workflow Design,User Interaction,beginner,understand,C002,1
C051,Explicit pause instruction,Workflow Design,User Interaction,beginner,apply,C050,3
C052,Destructive action confirmation pattern,Workflow Design,User Interaction,intermediate,apply,"C050,C051",3
C053,Conditional logic in steps,Workflow Design,Branching,intermediate,apply,C047,3
C054,Automatic proceed condition,Workflow Design,Branching,intermediate,apply,C053,3
C055,Prerequisite check in pre-flight,Workflow Design,Setup Patterns,intermediate,apply,C040,6
C056,Error handling specification,Workflow Design,Error Handling,intermediate,apply,C053,6
C057,Fail loudly and specifically principle,Workflow Design,Error Handling,intermediate,understand,C056,11
C058,Sequential vs parallel steps,Workflow Design,Execution Order,intermediate,analyze,C010,6
C059,Idempotency in skill steps,Workflow Design,Quality Properties,advanced,understand,C047,11
C060,Quality scoring rubric design,Quality Systems,Rubric Design,intermediate,apply,C043,7
C061,Weighted sub-categories,Quality Systems,Rubric Design,intermediate,apply,C060,7
C062,1-100 point scale convention,Quality Systems,Rubric Design,beginner,remember,C060,7
C063,Minimum passing score threshold,Quality Systems,Rubric Design,intermediate,understand,C062,7
C064,Gap report behavior,Quality Systems,Rubric Design,intermediate,apply,"C060,C063",7
C065,Threshold-based proceed/stop logic,Quality Systems,Gates,intermediate,apply,"C063,C064",7
C066,Self-assessment by Claude,Quality Systems,Execution,intermediate,understand,C060,7
C067,Quality score below threshold action,Quality Systems,Gates,intermediate,apply,"C065,C064",7
C068,Criterion specificity requirement,Quality Systems,Rubric Design,intermediate,evaluate,C060,7
C069,Quality gate at pipeline stages,Quality Systems,Pipeline Integration,advanced,apply,"C065,C011",11
C070,Skill iteration loop,Skill Anatomy,Development Process,beginner,apply,C002,3
C071,Observe-compare-edit cycle,Skill Anatomy,Development Process,beginner,apply,C070,3
C072,Common skill failure modes,Skill Anatomy,Development Process,intermediate,analyze,C070,3
C073,Output format inconsistency cause,Skill Anatomy,Development Process,intermediate,analyze,C072,3
C074,Production-readiness checklist,Skill Anatomy,Development Process,intermediate,evaluate,"C046,C060,C044,C045",3
C075,Frontmatter completeness check,Skill Anatomy,Development Process,beginner,apply,C074,3
C076,Meta-skill definition,Meta-Skills,Core Concept,intermediate,understand,"C001,C012",8
C077,Routing as primary meta-skill job,Meta-Skills,Core Concept,intermediate,understand,C076,8
C078,Proliferation problem (30-skill limit mitigation),Meta-Skills,Problem Statement,intermediate,analyze,"C019,C076",8
C079,Token budget problem mitigation,Meta-Skills,Problem Statement,intermediate,analyze,"C020,C076",8
C080,Maintenance problem mitigation,Meta-Skills,Problem Statement,intermediate,analyze,C076,8
C081,When to build a meta-skill (3+ variants rule),Meta-Skills,Design Criteria,intermediate,evaluate,C076,8
C082,Routing table pattern,Meta-Skills,Routing Mechanism,intermediate,understand,C076,8
C083,Keyword-to-reference-file mapping,Meta-Skills,Routing Mechanism,intermediate,apply,C082,8
C084,Synonym coverage in routing table,Meta-Skills,Routing Mechanism,intermediate,apply,C082,8
C085,Routing priority order,Meta-Skills,Routing Mechanism,intermediate,understand,C082,8
C086,Semantic match routing,Meta-Skills,Routing Mechanism,intermediate,understand,C085,8
C087,Disambiguation protocol,Meta-Skills,Routing Mechanism,intermediate,apply,"C082,C085",8
C088,Decision tree for ambiguous requests,Meta-Skills,Routing Mechanism,intermediate,apply,C087,8
C089,Escape hatch clarifying question,Meta-Skills,Routing Mechanism,intermediate,apply,"C087,C088",8
C090,One-question constraint on escape hatch,Meta-Skills,Routing Mechanism,intermediate,evaluate,C089,8
C091,References directory pattern,Meta-Skills,Directory Structure,intermediate,remember,"C076,C082",8
C092,Reference guide as variant specification,Meta-Skills,Directory Structure,intermediate,understand,C091,8
C093,Speculative loading avoidance,Meta-Skills,Token Efficiency,intermediate,apply,"C091,C079",8
C094,Shared scaffolding in meta-skill SKILL.md,Meta-Skills,Design Pattern,intermediate,apply,C076,8
C095,Reference guide minimum length (300+ words),Meta-Skills,Design Criteria,intermediate,evaluate,C092,8
C096,Routing failure modes,Meta-Skills,Debugging,intermediate,analyze,C082,8
C097,Vocabulary mismatch failure,Meta-Skills,Debugging,intermediate,analyze,C096,8
C098,Escape hatch rate as routing health metric,Meta-Skills,Debugging,intermediate,evaluate,C096,8
